Title,Product_link,Sub_brand,Sale_price,MRP
JAPAN SHOES,https://www.adidas.co.in/japan-shoes/KK3439.html,Originals,₹12 999.00,₹12 999.00
Ultraboost 5 Shoes,https://www.adidas.co.in/ultraboost-5-shoes/ID8812.html,Men Performance,₹17 999.00,₹17 999.00
ULTRA RESPONSE SHOES,https://www.adidas.co.in/ultra-response-shoes/IQ9174.html,Men Performance,₹2 579.50,₹4 299.00
STEP N PACE SHOES,https://www.adidas.co.in/step-n-pace-shoes/IQ9157.html,Men Performance,₹3 179.50,₹5 299.00
SL 72 RS Shoes,https://www.adidas.co.in/sl-72-rs-shoes/JS0746.html,Men Originals,₹4 999.50,₹9 999.00
AMALGO SHOES,https://www.adidas.co.in/amalgo-shoes/IU6241.html,Men Performance,₹2 649.50,₹5 299.00
JAYSAW REFLECTIVE SHOES,https://www.adidas.co.in/jaysaw-reflective-shoes/GA1131.html,Men Performance,₹2 299.50,₹4 599.00
ULTRA RESPONSE SHOES,https://www.adidas.co.in/ultra-response-shoes/IQ9176.html,Men Performance,₹2 579.50,₹4 299.00
adidas Stridx Shoes,https://www.adidas.co.in/adidas-stridx-shoes/JJ5639.html,Men Performance,₹2 399.50,₹4 799.00
JAPAN SHOES,https://www.adidas.co.in/japan-shoes/KK3438.html,Originals,₹12 999.00,₹12 999.00
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/JR0881.html,Men Originals,₹10 999.00,₹10 999.00
LAUFEN SPEED SHOES,https://www.adidas.co.in/laufen-speed-shoes/IU6324.html,Men Performance,₹2 649.50,₹5 299.00
Adilette Lite Slides,https://www.adidas.co.in/adilette-lite-slides/FU7592.html,Originals,₹2 099.50,₹2 999.00
JOLT RUNNER SHOES,https://www.adidas.co.in/jolt-runner-shoes/IU6320.html,Men Performance,₹2 499.50,₹4 999.00
Handball Spezial Shoes,https://www.adidas.co.in/handball-spezial-shoes/JR3668.html,Men Originals,₹10 999.00,₹10 999.00
SUPERNOVA RISE 3 MERCEDES AMG PETRONAS F1 TEAM Shoes,https://www.adidas.co.in/supernova-rise-3-mercedes-amg-petronas-f1-team-shoes/KJ3671.html,Men Performance,₹11 199.50,₹15 999.00
Runfalcon 5 Running Shoes,https://www.adidas.co.in/runfalcon-5-running-shoes/IE8812.html,Men Performance,₹6 599.00,₹6 599.00
ZAPID SHOES,https://www.adidas.co.in/zapid-shoes/IU6378.html,Men Performance,₹2 999.50,₹4 999.00
BASENEW SHOES,https://www.adidas.co.in/basenew-shoes/IU6403.html,Men Performance,₹2 149.50,₹4 299.00
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/JR0890.html,Men Originals,₹11 999.00,₹11 999.00
CYBERRUN SHOES,https://www.adidas.co.in/cyberrun-shoes/IQ8896.html,Men Performance,₹2 999.50,₹4 999.00
Ultraboost 20 Shoes,https://www.adidas.co.in/ultraboost-20-shoes/EF1043.html,Men Performance,₹9 499.50,₹18 999.00
ZENITH FLIP-FLOPS,https://www.adidas.co.in/zenith-flip-flops/IU5993.html,Men Sportswear,₹799.50,₹1 599.00
LAUFEN Speed Running Shoes,https://www.adidas.co.in/laufen-speed-running-shoes/JJ5792.html,Men Performance,₹2 799.50,₹5 599.00
ZAPID SHOES,https://www.adidas.co.in/zapid-shoes/IU6377.html,Men Performance,₹2 499.50,₹4 999.00
CLEAR FACTOR SHOES,https://www.adidas.co.in/clear-factor-shoes/EX2039.html,Men Performance,₹1 799.50,₹3 599.00
ZAPCORE SHOES,https://www.adidas.co.in/zapcore-shoes/IU6705.html,Men Performance,₹2 399.50,₹4 799.00
VL COURT BASE IKD,https://www.adidas.co.in/vl-court-base-ikd/KK7336.html,Men Sportswear,₹2 999.50,₹5 999.00
VL Court 3.0 Shoes,https://www.adidas.co.in/vl-court-3.0-shoes/JR8633.html,Men Sportswear,₹4 199.50,₹6 999.00
MISTICO FLIP-FLOPS,https://www.adidas.co.in/mistico--flip-flops--/GA1047.html,Men Sportswear,₹649.50,₹1 299.00
Lightblaze Shoes,https://www.adidas.co.in/lightblaze-shoes/JQ7199.html,Men Sportswear,₹6 999.50,₹9 999.00
Yompzee Flip Flops,https://www.adidas.co.in/yompzee-flip-flops/KK1703.html,Men Sportswear,₹1 399.50,₹1 999.00
CLOUDFOAM FLEX LACES SHOES,https://www.adidas.co.in/cloudfoam-flex-laces-shoes/HQ4853.html,Men Sportswear,₹4 999.00,₹4 999.00
Samba XLG Shoes,https://www.adidas.co.in/samba-xlg-shoes/IE1377.html,Originals,₹11 999.00,₹11 999.00
GRAND COURT 3.0 SHOES,https://www.adidas.co.in/grand-court-3.0-shoes/IH1472.html,Men Sportswear,₹3 999.50,₹7 999.00
Adilette Aqua Slides,https://www.adidas.co.in/adilette-aqua-slides/F35543.html,Sportswear,₹1 999.00,₹1 999.00
MEGARIDE F50 SHOES,https://www.adidas.co.in/megaride-f50-shoes/KJ4419.html,Originals,₹17 999.00,₹17 999.00
SUPERNOVA RISE 3 RUNNING SHOES,https://www.adidas.co.in/supernova-rise-3-running-shoes/JQ8502.html,Men Performance,₹10 499.50,₹14 999.00
SUPERNOVA EASE 2 M RUNNING SHOES,https://www.adidas.co.in/supernova-ease-2-m-running-shoes/JQ4336.html,Men Performance,₹4 999.50,₹9 999.00
F50 CLUB Firm Ground / Multi Ground Football Boots,https://www.adidas.co.in/f50-club-firm-ground-multi-ground-football-boots/JR9053.html,Performance,₹5 999.00,₹5 999.00
ADILETTE COMFORT 2.0 SLIDES,https://www.adidas.co.in/adilette-comfort-2.0-slides/HQ2471.html,Sportswear,₹2 499.50,₹4 999.00
SAMBA OG SHOES,https://www.adidas.co.in/samba-og-shoes/IH6818.html,Men Originals,₹8 399.50,₹11 999.00
ASTOUNDRUN SHOES,https://www.adidas.co.in/astoundrun-shoes/IU6247.html,Men Performance,₹2 149.50,₹4 299.00
COPA PURE IV LEAGUE Firm Ground Football Boots,https://www.adidas.co.in/copa-pure-iv-league-firm-ground-football-boots/JQ0482.html,Performance,₹8 599.00,₹8 599.00
Ultraboost 5 Shoes,https://www.adidas.co.in/ultraboost-5-shoes/ID8813.html,Men Performance,₹17 999.00,₹17 999.00
Adilette Lite Slides,https://www.adidas.co.in/adilette-lite-slides/FU8299.html,Originals,₹2 099.50,₹2 999.00
CLOUDFOAM FLEX RAPIDFIT SHOES,https://www.adidas.co.in/cloudfoam-flex-rapidfit-shoes/KK3482.html,Men Sportswear,₹4 899.50,₹6 999.00
DUVENTO SHOES,https://www.adidas.co.in/duvento-shoes/IQ8910.html,Men Performance,₹2 799.50,₹5 599.00
adilette Comfort MER Slides,https://www.adidas.co.in/adilette-comfort-mer-slides/KI6109.html,Performance,₹5 599.00,₹5 599.00
HANDBALL SPEZIAL SHOES,https://www.adidas.co.in/handball-spezial-shoes/IH6591.html,Men Originals,₹10 999.00,₹10 999.00
Yompzee Flip Flops,https://www.adidas.co.in/yompzee-flip-flops/KK1702.html,Men Sportswear,₹1 399.50,₹1 999.00
POMAZOR SHOES,https://www.adidas.co.in/pomazor-shoes/IQ9816.html,Men Sportswear,₹1 799.50,₹3 599.00
Adilette Comfort 2.0 Spain Slides,https://www.adidas.co.in/adilette-comfort-2.0-spain-slides/JS4973.html,Sportswear,₹5 299.00,₹5 299.00
GRAND COURT 3.0 SHOES,https://www.adidas.co.in/grand-court-3.0-shoes/IH1476.html,Men Sportswear,₹3 999.50,₹7 999.00
SUPERNOVA EASE 2 RUNNING SHOES,https://www.adidas.co.in/supernova-ease-2-running-shoes/KJ1828.html,Men Performance,₹6 999.50,₹9 999.00
ADILETTE SLIDES,https://www.adidas.co.in/adilette-slides/280648.html,Men Originals,₹3 999.00,₹3 999.00
VS Pace 2.0 IKD Shoes,https://www.adidas.co.in/vs-pace-2.0-ikd-shoes/KK7330.html,Men Sportswear,₹2 999.50,₹5 999.00
SL 72 RS SHOES,https://www.adidas.co.in/sl-72-rs-shoes/JQ9720.html,Men Originals,₹6 999.50,₹9 999.00
SL 72 RS Shoes,https://www.adidas.co.in/sl-72-rs-shoes/IG2132.html,Originals,₹5 999.50,₹9 999.00
ADILETTE COMFORT 2.0 SLIDES,https://www.adidas.co.in/adilette-comfort-2.0-slides/HQ2474.html,Sportswear,₹2 499.50,₹4 999.00
ADVANTAGE BASE SHOES,https://www.adidas.co.in/advantage-base-shoes/GW2064.html,Men Sportswear,₹3 299.50,₹6 599.00
Megaride S4 Shoes,https://www.adidas.co.in/megaride-s4-shoes/KK3391.html,Originals,₹14 999.00,₹14 999.00
Ultimashow IKD Shoes,https://www.adidas.co.in/ultimashow-ikd-shoes/KL1810.html,Men Sportswear,₹2 799.50,₹5 599.00
Barreda Decode Shoes,https://www.adidas.co.in/barreda-decode-shoes/JI2318.html,Men Sportswear,₹6 299.50,₹8 999.00
SL 72 RS SHOES,https://www.adidas.co.in/sl-72-rs-shoes/JQ9722.html,Men Originals,₹6 999.50,₹9 999.00
ADILETTE SLIDES,https://www.adidas.co.in/adilette-slides/288022.html,Men Originals,₹3 999.00,₹3 999.00
Advantage Base 2.0 Shoes,https://www.adidas.co.in/advantage-base-2.0-shoes/IF4135.html,Men Sportswear,₹3 299.50,₹6 599.00
EXCELCOURT SHOES,https://www.adidas.co.in/excelcourt-shoes/GA1169.html,Men Sportswear,₹2 799.50,₹5 599.00
SAMBA OG SHOES,https://www.adidas.co.in/samba-og-shoes/IH6820.html,Men Originals,₹10 999.00,₹10 999.00
Astrastar Shoes,https://www.adidas.co.in/astrastar-shoes/JP5938.html,Men Sportswear,₹7 999.00,₹7 999.00
SUPERNOVA EASE 2 M RUNNING SHOES,https://www.adidas.co.in/supernova-ease-2-m-running-shoes/JQ5859.html,Men Performance,₹4 999.50,₹9 999.00
ULTRABOOST 1.0 SHOES,https://www.adidas.co.in/ultraboost-1.0-shoes/HQ4199.html,Men Sportswear,₹8 999.50,₹17 999.00
JABBAR LO Shoes,https://www.adidas.co.in/jabbar-lo-shoes/JP8985.html,Originals,₹6 999.50,₹9 999.00
Streettalk,https://www.adidas.co.in/streettalk/JP8277.html,Men Sportswear,₹3 299.50,₹6 599.00
Advantage IKD Shoes,https://www.adidas.co.in/advantage-ikd-shoes/KK7460.html,Men Sportswear,₹3 999.50,₹7 999.00
Lightrun Bold 2 Shoes,https://www.adidas.co.in/lightrun-bold-2-shoes/KI6463.html,Men Performance,₹2 399.50,₹4 799.00
Air-GlowRun Shoes,https://www.adidas.co.in/air-glowrun-shoes/JK3801.html,Men Performance,₹1 999.50,₹3 999.00
ADIZERO EVO SL EXO Shoes,https://www.adidas.co.in/adizero-evo-sl-exo-shoes/KI4764.html,Men Performance,₹15 999.00,₹15 999.00
Questcrest Shoes,https://www.adidas.co.in/questcrest-shoes/JK7778.html,Men TERREX,₹2 299.50,₹4 599.00
ADILETTE COMFORT AUDI REVOLUT F1 TEAM SLIDES,https://www.adidas.co.in/adilette-comfort-audi-revolut-f1-team-slides/KI6084.html,Performance,₹5 599.00,₹5 599.00
AeroEchoZest 2 Shoes,https://www.adidas.co.in/aeroechozest-2-shoes/KJ6779.html,Men Performance,₹2 399.50,₹4 799.00
Base Switch 2 Shoes,https://www.adidas.co.in/base-switch-2-shoes/KJ9157.html,Men Performance,₹1 999.50,₹3 999.00
SUPERNOVA EASE 2 RUNNING SHOES,https://www.adidas.co.in/supernova-ease-2-running-shoes/KI5032.html,Men Performance,₹9 999.00,₹9 999.00
SPORT INSPIRED THROB SHOES,https://www.adidas.co.in/sport-inspired-throb-shoes/CM4882.html,Men Performance,₹1 799.50,₹3 599.00
LIGHTBLAZE SHOES,https://www.adidas.co.in/lightblaze-shoes/HQ9344.html,Men Sportswear,₹6 999.50,₹9 999.00
EXCELCOURT SHOES,https://www.adidas.co.in/excelcourt-shoes/GA1168.html,Men Sportswear,₹2 799.50,₹5 599.00
Ownthegame 3.0 Shoes,https://www.adidas.co.in/ownthegame-3.0-shoes/JR6673.html,Men Performance,₹6 599.00,₹6 599.00
Advantage Base 2.0 Shoes,https://www.adidas.co.in/advantage-base-2.0-shoes/IG9183.html,Men Sportswear,₹3 299.50,₹6 599.00
Basenew 2 Shoes,https://www.adidas.co.in/basenew-2-shoes/KJ9136.html,Men Performance,₹2 149.50,₹4 299.00
Ownthegame 3.0 Shoes,https://www.adidas.co.in/ownthegame-3.0-shoes/JS2171.html,Men Performance,₹4 619.50,₹6 599.00
Advantage IKD Shoes,https://www.adidas.co.in/advantage-ikd-shoes/KK7472.html,Men Sportswear,₹3 999.50,₹7 999.00
SUPERNOVA EASE 2 M RUNNING SHOES,https://www.adidas.co.in/supernova-ease-2-m-running-shoes/JQ4335.html,Men Performance,₹4 999.50,₹9 999.00
F50 League Firm Ground / Multi Ground Football Boots,https://www.adidas.co.in/f50-league-firm-ground-multi-ground-football-boots/JR8992.html,Performance,₹8 999.00,₹8 999.00
MASTER GLIDE SHOES,https://www.adidas.co.in/master-glide-shoes/GB2494.html,Men Performance,₹2 299.50,₹4 599.00
Basic Run-Lines Shoes,https://www.adidas.co.in/basic-run-lines-shoes/JK7174.html,Men Performance,₹1 999.50,₹3 999.00
Samba OG Shoes,https://www.adidas.co.in/samba-og-shoes/JR0883.html,Men Originals,₹7 699.50,₹10 999.00
COSET II SLIPPERS,https://www.adidas.co.in/coset-ii-slippers/EW2178.html,Men Sportswear,₹999.50,₹1 999.00
Cush-App Shoes,https://www.adidas.co.in/cush-app-shoes/JK8258.html,Men Sportswear,₹1 799.50,₹3 599.00
AeroEchoZest 2 Shoes,https://www.adidas.co.in/aeroechozest-2-shoes/KJ6780.html,Men Performance,₹2 399.50,₹4 799.00
PREDATOR ELITE Fold-Over Tongue Firm Ground Football Boots,https://www.adidas.co.in/predator-elite-fold-over-tongue-firm-ground-football-boots/JS0378.html,Performance,₹19 599.50,₹27 999.00
Aero Turbo Thrive Shoes,https://www.adidas.co.in/aero-turbo-thrive-shoes/KJ6782.html,Men Performance,₹2 649.50,₹5 299.00
VS Pace 2.0 IKD Shoes,https://www.adidas.co.in/vs-pace-2.0-ikd-shoes/KK7329.html,Men Sportswear,₹2 999.50,₹5 999.00
Tokyo Shoes,https://www.adidas.co.in/tokyo-shoes/JQ0597.html,Originals,₹9 999.00,₹9 999.00
Adilette Lite Slides,https://www.adidas.co.in/adilette-lite-slides/FU8298.html,Originals,₹2 999.00,₹2 999.00
F50 LEAGUE Firm Ground / Multi Ground Football Boots,https://www.adidas.co.in/f50-league-firm-ground-multi-ground-football-boots/JR8989.html,Performance,₹8 999.00,₹8 999.00
Flaze Mode Shoes,https://www.adidas.co.in/flaze-mode-shoes/KJ9233.html,Men Performance,₹2 499.50,₹4 999.00
ADILETTE COMFORT AUDI REVOLUT F1 TEAM SLIDES,https://www.adidas.co.in/adilette-comfort-audi-revolut-f1-team-slides/KI6083.html,Performance,₹5 599.00,₹5 599.00
Basenew 2 Shoes,https://www.adidas.co.in/basenew-2-shoes/KJ9135.html,Men Performance,₹2 149.50,₹4 299.00
STREETAHEAD SHOES,https://www.adidas.co.in/streetahead-shoes/GC0649.html,Men Sportswear,₹1 799.50,₹3 599.00
SUPERNOVA RISE 3 RUNNING SHOES,https://www.adidas.co.in/supernova-rise-3-running-shoes/JP8680.html,Men Performance,₹8 999.50,₹14 999.00
Aero Turbo Thrive Shoes,https://www.adidas.co.in/aero-turbo-thrive-shoes/KJ6784.html,Men Performance,₹2 649.50,₹5 299.00
OZWEEGO Shoes,https://www.adidas.co.in/ozweego-shoes/JI2641.html,Originals,₹7 799.50,₹12 999.00
SL 72 RS AUDI REVOLUT F1 TEAM SHOES,https://www.adidas.co.in/sl-72-rs-audi-revolut-f1-team-shoes/KJ1203.html,Men Originals,₹7 699.50,₹10 999.00
